user_id,event_id
1134,2133247
1105,2133209
1167,2133820
1172,2133860
1116,2133863
1134,2133222
1176,2133870
1158,2133279
1126,2133885
1143,2133404
1163,2133374
1101,2133918
1130,2133625
1158,2133302
1153,2133852
1112,2133658
1114,2133249
1116,2133955
1116,2133984
1164,2134036
2223,2137550
2244,2136921
2227,2137573
2232,2137608
2235,2136774
2275,2137616
2234,2137639
2268,2136876
2279,2137645
2268,2136083
2293,2137679
2229,2136575
2291,2137746
2561,2138429
2489,2138362
2531,2138445
2525,2138454
2522,2138491
2562,2138496
2522,2138501
2525,2138508
2507,2138514
3041,2139514
3044,2139565
3080,2139561
3088,2139591
3063,2139605
3102,2139646
3048,2135985
3054,2136214
3083,2139683
3050,2139740
3054,2135717
3108,2139734
3083,2139548
3083,2139586
3048,2135907
3089,2139857
3415,2141186
3431,2141204
3470,2141257
3439,2141270
3386,2141273
3373,2141298
3460,2141325
3470,2141343
3452,2141353
3466,2141360
3375,2141362
3439,2141369
3440,2141374
3469,2141375
3396,2141380
3403,2141410
3403,2141418
3403,2141428
3415,2141436
3470,2141450
3415,2141456
3419,2141465
3384,2141474
3440,2141491
3446,2141495
3401,2141504
3493,2141508
3513,2141513
3531,2140879
3542,2141567
3533,2141575
3541,2141702
3518,2141756
3546,2141771
3674,2142621
3674,2142656
3674,2142661
3758,2142667
3788,2142677
3819,2142707
3764,2141259
3786,2142727
3797,2142754
3796,2142780
3831,2142793
3756,2141357
3817,2142836
3831,2142865
3803,2142880
3823,2142889
4069,2143726
4081,2143730
4043,2143738
4063,2143708
4088,2143742
4087,2143743
4069,2143768
4057,2143783
4087,2143801
4067,2143846
4078,2143852
4087,2143874
4119,2143894
4038,2143902
4040,2142431
4078,2143935
4078,2143966
4126,2143971
4534,2144807
4551,2144791
4508,2144827
4534,2144819
4473,2144673
4529,2144881
4503,2144891
4544,2144907
4529,2144930
4505,2144748
4519,2144933
4529,2144965
4550,2145018
4544,2145039
4521,2145046
4521,2145054
4517,2145081
4550,2145099
4544,2145110
4523,2145134
5004,2145867
4999,2138904
4999,2145894
4986,2145909
4989,2145916
5031,2145948
4979,2145959
5373,2146635
5395,2146651
5458,2146654
5398,2146665
5445,2146677
5438,2146730
5441,2146737
5462,2139827
5460,2139683
5398,2146771
5441,2146795
5885,2147575
5909,2136157
5885,2147606
5867,2140027
5996,2141777
5986,2147719
7891,2148379
7891,2148388
7819,2148403
8061,2148412
7891,2148430
7874,2136428
7976,2133239
7874,2135790
7883,2148458
7883,2148469
7891,2148472
8061,2148479
7891,2148482
8061,2148487
8061,2148492
8061,2148497
8061,2148502
8239,2148522
8455,2148527
8320,2148538
9621,2149754
9641,2149764
9641,2149777
9634,2149788
9630,2149799
9621,2149812
9669,2149822
9621,2149825
9631,2149841
9631,2149847
9672,2149852
1007,2133461
1066,2133470
1072,2133476
1049,2133478
1082,2133485
1059,2133535
1082,2133540
2227,2137552
2226,2137555
2273,2137568
2223,2137588
2291,2137584
2279,2137603
2275,2137631
2244,2136694
2252,2136588
2235,2137728
2269,2137744
2285,2136534
2251,2133870
2543,2138433
2560,2138455
2525,2138500
2510,2138516
3047,2139518
3072,2139522
3096,2139560
3108,2139548
3088,2139535
3116,2139578
3041,2139631
3083,2139645
3053,2139663
3077,2139693
3072,2139699
3038,2139721
3054,2136255
3066,2139762
3408,2141172
3434,2141178
3439,2141226
3373,2141229
3375,2141237
3466,2141274
3431,2141279
3424,2141300
3469,2141307
3438,2141048
3403,2141321
3439,2141347
3384,2141349
3390,2141335
3440,2141411
3440,2141419
3440,2141429
3396,2141433
3390,2141444
3440,2141458
3674,2142627
3674,2142657
3674,2142662
3762,2142670
3802,2142690
3764,2141220
3786,2142712
3776,2142718
3825,2142702
3830,2142739
3788,2142773
3789,2140888
3810,2142790
3780,2142792
3823,2142823
3760,2142843
3768,2142842
3820,2142878
3825,2142897
4051,2143716
4050,2143794
4118,2143812
4038,2143830
4069,2143851
4118,2142299
4045,2143912
4081,2143964
4471,2144799
4499,2144805
4519,2144583
4550,2144839
4518,2144855
4529,2144862
4519,2144597
4533,2144863
4515,2144874
4989,2144229
5375,2146636
5453,2146666
5460,2139602
5462,2146728
5376,2146738
5391,2136866
5391,2136929
5395,2146792
5386,2146798
5419,2141846
5419,2141852
5395,2146820
5391,2146825
5502,2146835
5493,2136171
5493,2146843
5517,2146856
5553,2146864
5561,2146873
5525,2146863
5511,2146902
5520,2146919
5547,2146928
5577,2146937
5528,2135779
5528,2146975
5538,2147000
5950,2147578
5904,2136358
5884,2133559
5903,2147613
5977,2147625
5900,2147632
5867,2140109
5856,2147676
5862,2147679
5993,2144707
5913,2140392
5986,2147707
5913,2147716
5947,2136273
7916,2148380
7916,2148393
7761,2148411
7874,2136400
7976,2148428
7976,2148434
8061,2148440
7891,2148443
7976,2148454
7874,2135947
8061,2148461
7976,2148464
8061,2148475
7891,2148478
8061,2148488
8061,2148493
8061,2148498
8061,2148503
8207,2148510
9693,2149211
11334,2138855
11338,2150382
11332,2145120
11292,2150392
12081,2150990
11988,2150996
11988,2151010
12000,2151012
11897,2150751
11942,2151027
11907,2151051
11907,2151060
12219,2151066
12397,2135467
12409,2151073
12405,2136806
12397,2135444
12397,2135452
12271,2151129
12206,2151135
12381,2151138
12181,2151149
12239,2151151
12382,2150104
12271,2151174
12206,2151200
12530,2151210
12552,2151217
12579,2151218
12600,2151224
12598,2151239
12552,2151241
12932,2151406
12941,2151420
12926,2136255
12902,2151494
12927,2151499
12886,2139746
12926,2151546
13194,2151725
13221,2151743
13247,2151755
13191,2151758
13336,2151778
13247,2151791
13186,2151794
13336,2151795
13186,2151803
13226,2151805
13186,2151812
17176,2152016
18677,2152042
16940,2152054
16940,2152060
16940,2152068
16940,2152079
18035,2152092
16940,2152111
17869,2136533
18294,2152132
18294,2152137
18978,2152275
18930,2144661
18983,2152285
19023,2152292
19026,2152301
19023,2152311
19018,2152317
19026,2152318
19035,2136978
1047,2133241
1065,2133469
1045,2133471
1078,2133479
1047,2133376
1049,2133497
1059,2133508
1044,2133515
1086,2133461
1058,2133527
1036,2133550
1044,2133271
