id,name,year
12771,Курсы восточных языков,2020
14347,Основы востоковедения,2022
14342,"Китайский язык (стандартный курс, средний уровень)",2022
13604,"Китайский язык (стандартный курс, средний уровень)",2021
12494,"Китайский язык (стандартный курс, средний уровень)",2020
14350,"Китайский язык (стандартный курс, средний уровень). Этап углубленного изучения.",2022
13608,"Китайский язык (стандартный курс, средний уровень). Этап углубленного изучения.",2021
12506,"Китайский язык (стандартный курс, средний уровень). Этап углубленного изучения.",2020
14024,Languages and Cultures of Africa / Языки и культуры Африки,2022
13153,Languages and Cultures of Africa / Языки и культуры Африки,2021
13980,Исламоведение,2022
13117,Исламоведение,2021
12204,Исламоведение,2020
14054,История народов Азии и Африки (с изучением языков Азии и Африки),2022
13176,История народов Азии и Африки (с изучением языков Азии и Африки),2021
12239,История народов Азии и Африки (с изучением языков Азии и Африки),2020
14112,Литература народов Азии и Африки (с изучением языков Азии и Африки),2022
13226,Литература народов Азии и Африки (с изучением языков Азии и Африки),2021
12278,Литература народов Азии и Африки (с изучением языков Азии и Африки),2020
14069,Религии народов Азии и Африки (с изучением языков Азии и Африки),2022
13195,Религии народов Азии и Африки (с изучением языков Азии и Африки),2021
14131,Социально-культурная антропология народов Азии и Африки (с изучением языков Азии и Африки),2022
13245,Социально-культурная антропология народов Азии и Африки (с изучением языков Азии и Африки),2021
14077,Экономика и международные экономические отношения стран Азии и Африки (с изучением языков Азии и Африки),2022
13204,Экономика и международные экономические отношения стран Азии и Африки (с изучением языков Азии и Африки),2021
12257,Экономика и международные экономические отношения стран Азии и Африки (с изучением языков Азии и Африки),2020
12927,История народов стран Азии и Африки,2021
12007,История народов стран Азии и Африки,2020
10961,История народов стран Азии и Африки,2019
13844,Журналистика,2022
11906,Журналистика,2020
9985,Журналистика,2018
13977,Международная журналистика,2022
11237,Международная журналистика,2019
10001,Международная журналистика,2018
11140,Реклама и связи с общественностью,2019
9966,Реклама и связи с общественностью,2018
14816,Журналистика,2022
14810,Спичрайтинг и эффективные коммуникации в бизнесе и политике,2022
14805,"Курс ""Основы журналистской деятельности""",2022
14114,Авторский аудиовизуальный проект,2022
12281,Авторский аудиовизуальный проект,2020
14115,Визуальные коммуникации в журналистике и рекламе,2022
13228,Визуальные коммуникации в журналистике и рекламе,2021
14128,Журналистика и культура общества,2022
13240,Журналистика и культура общества,2021
13241,Историческая журналистика,2021
14113,Корпоративные коммуникации и реклама,2022
13227,Корпоративные коммуникации и реклама,2021
14029,Медиакоммуникации,2022
13160,Медиакоммуникации,2021
14117,Медиатекст в массовых коммуникациях,2022
